time_stamps	cumulative_heading_changes	avg_distance_to_closest_person	intimate_space_intrusions	personal_space_intrusions	social_space_intrusions	group_intimate_space_intrusions	group_personal_space_intrusions	group_social_space_intrusions	robot_on_person_collision	person_on_robot_collision	time_not_moving	avg_robot_linear_speed	avg_robot_angular_speed	avg_acceleration	avg_overacceleration	avg_closest_pedestrian_velocity	social_force_on_agents	social_force_on_robot	social_work	obstacle_force_on_robot	obstacle_force_on_agents	
0.0	0.0	5.790930272092305	0	0	0	0	0	0	0	0	0	0.937053918838501	0.44170984625816345	0.0	0.0	0.4940341114997864	0.0010827404694648212	0.0010827404694648175	0.0020160181229950612	0.0	4.4652229200438174e-13	
1.0	0.6313409209251404	5.3576826045792245	0	0	0	0	0	0	0	0	0	0.9871470928192139	0.4490965008735657	0.05009317398071289	0.05009317398071289	0.8401892781257629	0.04849053081633146	0.0484905308163315	0.09626846295358235	0.0	7.043067546546895e-12	
2.0	0.3797428607940674	3.802685381819937	0	0	0	0	0	0	0	0	0	0.9633134603500366	-0.24948503077030182	-0.023833632469177246	-0.023833632469177246	0.5608824491500854	0.08747205798850202	0.08747205798850194	0.17299384539351606	0.0	1.0989674522695172e-08	
3.0	0.24860060214996338	2.570429146350352	0	0	1	0	0	1	0	0	0	0.9773703217506409	-0.5061883926391602	0.014056861400604248	0.014056861400604248	0.23352943360805511	0.2741617012597367	0.2741617012597366	0.4346793044186875	0.0	4.873992547707515e-06	
4.0	0.6065030992031097	1.4994350863558075	0	0	1	0	0	1	0	0	0	0.3068412244319916	-0.5206599235534668	-0.6705290973186493	-0.6705290973186493	0.4834827780723572	0.21842816018289765	0.2184281601828975	0.43510451459116184	0.0	0.0010626886541966862	
5.0	0.13863664865493774	0.7962729190383395	0	1	0	0	0	1	0	0	0	0.9656869769096375	-0.4711233079433441	0.6588457524776459	0.6588457524776459	0.4476982057094574	0.76197935934701	0.76197935934701	1.4895682513300423	0.0	0.030154703856516817	
6.0	0.12104780972003937	1.1244427876116987	0	1	0	0	0	1	0	0	0	0.9636213183403015	-0.23691299557685852	-0.0020656585693359375	-0.0020656585693359375	0.40255242586135864	0.7533047764646297	0.7533047764646298	1.47496449640863	0.0	0.008752227246107224	
7.0	0.3519946485757828	1.983819504865912	0	0	1	0	0	1	0	0	0	0.5415247678756714	0.6272380948066711	-0.4220965504646301	-0.4220965504646301	1.135862112045288	0.11278904056833056	0.11278904056833053	0.22554053193614748	0.0	0.00015576625112316832	
8.0	0.10570809245109558	1.3080966883698506	0	0	1	1	0	0	0	0	0	0.9836595058441162	0.1308331936597824	0.4421347379684448	0.4421347379684448	0.834470272064209	0.05531003551361737	0.05531003551361728	0.11061191784022031	0.0	0.0023792033156254887	
9.0	0.6445437073707581	0.6921997273077838	0	1	0	1	0	0	0	0	0	0.9803911447525024	-0.9502907991409302	-0.0032683610916137695	-0.0032683610916137695	0.638375997543335	0.011420172795470529	0.011420172795470545	0.022718547999676042	0.0	0.058824850222188155	
